importing BLAga
Mismatch at C[326,0]: ngsolve=363.3835669228546, BLAga=8.9e-322
Mismatch at C[327,0]: ngsolve=360.29691261171206, BLAga=7.86e-322
Mismatch at C[328,0]: ngsolve=370.1241888589653, BLAga=1.01e-321
Mismatch at C[329,0]: ngsolve=364.2603135096394, BLAga=8.8e-322
Mismatch at C[330,0]: ngsolve=362.38864597781287, BLAga=8.9e-322
Mismatch at C[331,0]: ngsolve=351.3198673746152, BLAga=8.35e-322
Mismatch at C[332,0]: ngsolve=357.59203013894404, BLAga=8.4e-322
Mismatch at C[333,0]: ngsolve=360.4253450598577, BLAga=8.2e-322
Mismatch at C[334,0]: ngsolve=362.5370560021802, BLAga=9.04e-322
Mismatch at C[335,0]: ngsolve=356.02974596441527, BLAga=8.84e-322
Mismatch at C[336,0]: ngsolve=368.94495095820946, BLAga=8.9e-322
Mismatch at C[337,0]: ngsolve=359.4949302620244, BLAga=9.4e-322
Mismatch at C[338,0]: ngsolve=355.48124669397396, BLAga=9.1e-322
Mismatch at C[339,0]: ngsolve=365.94489773745556, BLAga=8.74e-322
Mismatch at C[340,0]: ngsolve=366.08999422428377, BLAga=9.24e-322
Mismatch at C[341,0]: ngsolve=357.0153701602798, BLAga=8.35e-322
Mismatch at C[342,0]: ngsolve=362.15088320247145, BLAga=9.34e-322
Mismatch at C[343,0]: ngsolve=364.1974417463282, BLAga=8.2e-322
Mismatch at C[344,0]: ngsolve=354.3144924330171, BLAga=8.55e-322
Mismatch at C[345,0]: ngsolve=374.06265053961044, BLAga=1.04e-321
Mismatch at C[346,0]: ngsolve=359.6909612149753, BLAga=8.65e-322
Mismatch at C[347,0]: ngsolve=361.4118180431331, BLAga=8.4e-322
Mismatch at C[348,0]: ngsolve=359.4929497775378, BLAga=9.1e-322
Mismatch at C[349,0]: ngsolve=365.5657630227395, BLAga=9.3e-322
Mismatch at C[350,0]: ngsolve=354.28090632004233, BLAga=9.04e-322
Mismatch at C[351,0]: ngsolve=361.28477889569126, BLAga=8.2e-322
Mismatch at C[352,0]: ngsolve=358.42742483735975, BLAga=8.8e-322
Mismatch at C[353,0]: ngsolve=357.8137784209577, BLAga=9.1e-322
Mismatch at C[354,0]: ngsolve=347.76508905621824, BLAga=8.9e-322
Mismatch at C[355,0]: ngsolve=358.1517550375606, BLAga=9.63e-322
